,name,phones,address1,city,state,zip_code,websites
166,Aiken Brewing Company,8035020707,140 Laurens St S W,Aiken,SC,29801,aikenbrewingcompany.com
255,Amos Howard's Restaurant,"8282610011, 8283238753",2828 Us Highway 70 S W,Hickory,NC,28602,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJm86yu691fOv5QribyDNiuA8hJRAk5oRKFoMw7y7YyAY64Oe_J_hgiM7-QKENye2u-VIOtq9Tp1RswjXIyCHEq468XvBITeLECiNvy0B7Kqv3gxdh7yq6YY3-da3fx9d6VWyl17aYqT2GODo5anMnh54EYHj4AbadtKDdr4W3GDJCNp1i6Yr5NhwRJMT3G59m4wl8QCKYLmTerJjweTL8g8XyPnODXXYVGjhIwJ8pnqcXtEMrqRH5wrPVesB26KNqGl21v1GbNm8yrC1UDqLGwvUUoPV94Mcw3dug_mvJdSphNckJVH-bbtb98YWrj-e5m4kOm6WT2hEnWeguzvQnN_Teqiteq1fJ&placement=listing_profile&cs_user=unknown&cs_session=cd60196a99efff11943aa7f4615a75e26b08314e
351,Asheville Pizza Brewing Company,8282554077,77 Coxe Ave,Asheville,NC,28801,http://ashevillebrewing.com
352,Asheville Pizza Company,"8282540077, 8282541281, 8282545339",675 Merrimon Ave,Asheville,NC,28804,http://www.ashevillepizza.com
457,Bake Bottle & Brew,9103257550,147 N,Swansboro,NC,28584,bakebottlebrew.com
664,Ben's Place,9197825900,8100 Country Trl,Raleigh,NC,27613, north carolina
729,Big Boss Brewing Company,9198340045,1249 Wicker Dr,Raleigh,NC,27604,http://www.bigbossbrewing.com
781,Biltmore Estate,8282251333,1 N Pack Sq,Asheville,NC,28801,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJxgPnWy8iO3Q6JtYGBLtTgaycu7nKuguQjOlfJdH6eMThpD6DnEH91SDUlg6xejPlBUQXIw0tDv5SjxplD49W6zPwK30v6xOAZ-PbBcD_fA9v0wBXOSFO71PSWACRGRhj2wDZvqh0BB3HwnUPOKgELPcDhYpJ4OUJVOrqqhgUW9CZWiCHA_vIV9Y9v3xwmrxrMX1P9SxOkJ9PrCt2skC-0Ahpm0eXClyBy1zUGvJhyJn33AQXvZTPtme1tzUgz7nSeTBG3NrIlj99ZOqR-QkXfBzKZogzWcJrmbKlk9dw1v4y9YxNfu1ZgJfa4cNWa6ruJweurwh8cRvDKEKfu00m24kUOrg5ldl7&placement=listing_profile&cs_user=unknown&cs_session=2396108dfe6fa17f259471b9b9e795dac260826d
787,Birdsong Brewing Co.,"7043321810, 17043321810, (704) 332-1810",1016 N Davidson St,Charlotte,NC,28206,birdsongbrewing.com
795,Bistro At Duplin Winery,"9102894046, 18007749634, 9102893888",505 N Sycamore St,Rosehill,NC,28458,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EGQ6wFBP1R9j_yPfgIG2qmnnU3b4EFXLWYqzqH6pileJnsDBgYjhj6412OE3eqoLyrSIPEJpXfr10mUiQbRKfZCKZytUuX1ZpMEsmU-K0mL9uCZDhf-nRxkx0xcmqFX3TZTiNoK_LLFKzM4tXpEgtM6BtXv1F1Dttffef3SoOjsr8qmEHIyxC7x1QTrOaO5J0e3bU8oeFo3OkxR6JwjgnHvjzh7aDUKAKRzHD8diOAgrLM1PVw2QlkxtMWE4aITMcsEvofX_SRfo_nl3ayqh6dnOh3LumD6_vWBkUTFQqoDB_2gEXZTeF8pXoxx6obxr6wvjP5nJmY8Kvvs21up9_hJwpYmrIdWon0rJ1CY2omTe1LHrz4-YtWEeIGigGNcVvpYE3Th2aeQnLs9RgEUA45ykkSTXnPc523bEmTNvTgKLW4S2i3c9F5CH5zgT3WUJnSkPsrvB3NVFTMApkRD4PZg0esVDEw0f8csAmONLPb4fITkaeBb7bicGSuhPwSkptxHij0Fz6yyw&placement=listing_profile.b&cs_user=unknown&cs_session=732e3c7ae00e85ef0078d5c989cc671d396046e7
